CodCopidrogas,EAN BARRAS
100022602,7703186030290
100000135,7703186834010
100012330,7703186027580
200032547,7702044221696
200034731,7702044239455
200027355,7702044198851
200034725,7702044236720
200033895,7702044229623
200030396,7702044160995
100015755,8710428002648
100000134,7703186976314
100010072,8710428020024
100024325,7703186032201
100024316,7703186032225
200004363,7703186069917
100022930,7703186031334
200032714,7500435018654
200031471,7702010972249
200031459,7702010972232
100023905,7703186031327
200032381,7702010972195
200036153,7703186031730
100023491,7703186031617
200031458,7702010972263
200025591,7702010971754
100024415,5391523056304
100024416,5391523056311
100024422,7703186031860
100024427,7703186032140
100022931,7703186031358
100023906,7703186031341
100024417,5391523056328
100024418,5391523056335
100022932,7703186031372
100023907,7703186031365
100024419,5391523056342
100024420,5391523056359
100024426,7703186031921
100020483,8427030004938
100020482,8427030005003
100017626,8427030003238
100019906,7703186029508
100018020,8427030003658
200034251,8427030004242
200034250,8427030004259
100018270,8427030003733
100000157,7896255702867
200032571,7702057085476
200032576,7702057082352
200032575,7702057082376
200032577,7702057082307
200032578,7702057082284
100000158,7896255702560
100000159,7896255702591
200036447,7702044243865
200036711,7702044243766
100000160,7896255702645
200036446,7702044243841
100019021,7896255765695
100008702,7896255702584
100000161,7896255702850
100000162,7896255702638
100000163,7896255702621
100000169,7703186621412
100000170,7703186621511
100009831,7703186027290
100009830,7703186027283
200000004,7705105112261
200031161,7705105210462
200036935,7702044243896
200031002,7506195104156
100016230,5413895021466
100000178,7896548140185
100000183,7896548140413
200036704,7500435117852
100009470,3587381200030
200031005,7506339346817
100004403,3587381199990
200037087,7500435125550
200035466,7702037869676
100000185,7896548134405
100000186,7896548135549
200029674,7702626205083
100000188,5413895024528
200033018,7702026310165
200031449,7702277130819
100000191,7501088616150
200037089,7500435125949
200032966,7702277137276
200033278,7702626170299
100000192,5413895024283
100000193,7896548166246
200033301,7702190000000
200037130,7702010911651
200036997,7702010921575
100014000,300650002196
200004400,300653144831
200036896,7702010921094
200020600,300653144848
200031170,300650362832
200026840,300651361544
200026839,300651361551
100000195,300650271622
200035482,7702024071228
100019231,300651433258
100020191,300650454209
100008874,300650429092
100016685,300651431483
100000196,5413895026690
100000198,7501088616204
100000199,5413895015779
100000200,7501088616259
200034101,7702870101124
200036062,7702870102008
100015610,7896548197806
100022769,0
200035856,7702044228169
200035857,7702044228183
200029435,7702031604112
100010145,300654013303
200028668,7702044197908
100019826,3596590761201
200032150,7702123008743
100018728,7702635722137
100009654,7898088361419
200034114,7702870101131
200033595,7702277046769
200035709,7702113612264
200029571,7707228366507
200026111,7707228361045
200037088,7500435125932
200029001,7702057085254
200014037,7707228361038
200025331,7707228360642
200022213,7707228362240
100023423,7707228362561
200035007,7702010780363
100023425,7707228362578
100023422,7707228362585
100023421,7707228362592
100023419,7707228362608
100023418,7707228362615
200032362,7707228367085
200028574,7707228365869
200028576,7707228365883
200028577,7707228362158
200028585,7707228365937
200028584,7707228365951
200028582,7707228365739
200028581,7707228365753
200028580,7707228365777
200028579,7707228365791
200019357,7702502015966
200028572,7707228362080
200034871,7702277130239
200028571,7707228362073
200036310,7702026180607
200028573,7707228362066
200016153,7707228361540
200026039,7707228361502
200032254,7702006919722
200036136,7707228366538
200025150,7707228364619
200035766,7707228360543
200030923,7702027429415
200026170,7707228360536
200018896,7707228360499
200035530,7702031926337
200015503,7899026493742
200015479,7899026493766
200022214,7707228360352
200015475,7899026494169
200015476,7899026493902
200015477,7899026493926
200015478,7899026493759
200015501,7899026493773
200015498,7899026493780
200015491,7899026493735
200011734,7707228360673
200015499,7899026493957
200031166,7707228367061
200015493,7899026493698
200031165,7707228367078
200027119,7899026493933
100022814,7702057735906
100022813,7702057735609
100022812,7702057735548
100022811,7702057735173
200026067,7707228364732
200025539,7707228360055
200030775,7702216200689
200030776,7702216200702
200030777,7702216200719
200032691,7702044226080
200032692,7702044226066
200032693,7702044226004
200025540,7707228360031
200035264,7702044240420
200032694,7702044225977
200032695,7702044225953
200019374,7707228360024
200019375,7707228361885
200019372,7707228360215
100023832,7702123010777
200035445,7702026144340
200019373,7707228360116
200015494,7899026493728
200029925,7707101103359
100022095,7702184690581
200036118,7702132000660
200035400,7702132000653
200019370,7707228360413
200019371,7707228360314
200014039,7707228360239
200037195,614143370120
200014040,7707228360246
200014041,7707228360253
200014042,7707228360260
200032910,7702010611940
200034872,7702277147930
200004410,7707228360093
200004411,7707228360086
200004412,7707228360079
200034603,7702045554816
200024615,7707228361014
200026564,7707228362356
200023531,7702354033682
200026565,7707228362332
200022212,7707228362349
200028365,7707228365845
200028366,7707228365838
200035813,7707228362912
200035812,7707228362905
200022211,7707228363049
200022210,7707228363032
200016167,7707228361601
200016166,7707228361595
200016165,7707228361588
200020661,7707228361861
200036991,7702010911606
200018820,7707228361809
200036990,7702010911590
200018816,7707228361847
200036992,7702010911613
200018817,7707228361830
200018818,7707228361854
200029115,7707228365630
200018821,7707228361823
200018822,7707228365654
200025151,7707228364077
200026024,7707228364251
200025330,7707228362929
200019604,7702310021326
200028822,7702310021746
200028821,7702310021722
200019600,7702310021340
200019603,7702310021302
200033616,7702310021838
200019601,7702310021364
200033617,7702310021852
200004413,7707228360338
200016718,7707228360680
200022870,7707228361922
200029961,7702031599043
200018815,7707228361939
200028474,7707228366446
200033265,7707228361625
200025184,7707228363926
200013412,7707228361021
200022607,7707228363506
200023708,7707228363780
200023709,7707228363773
200023710,7707228363766
200025538,7707228360291
200012127,7707228360727
200012128,7707228360734
